Comment,Designator,Footprint,LCSC,Quantity
B240,"D2,D3",D_SMB,C110483,2
SM6T30A,D1,D_SMB,C110904,1
LM317L_SOT-89,U3,SOT-89-3,C112537,1
100n 25V,"C2,C3",C_0603_1608Metric,C14663,2
1u 25V,C1,C_0603_1608Metric,C15849,1
1k,"R1,R2",R_0603_1608Metric,C21190,2
13k,R6,R_0603_1608Metric,C22797,1
1k5,R5,R_0603_1608Metric,C22843,1
10k,"R3,R4",R_0603_1608Metric,C25804,2
IRF7403,"Q1,Q2",SOIC-8_3.9x4.9mm_P1.27mm,C334232,2
TLP291,"U1,U2",SOIC-4_4.55x2.6mm_P1.27mm,C55144,2
MCP1416,"U4,U5",SOT-23-5,C83775,2
